module,function,risk,occurrences,cli_support,test_status,notes
aaa,get_authsrv_list,read,2,cli_generic_available,candidate_for_readonly_batch,
aaa,get_authsrv_member_group,read,3,cli_generic_available,candidate_for_readonly_batch,
aaa,get_authsrv_member_role,read,2,cli_generic_available,candidate_for_readonly_batch,
aaa,get_authsrv_member_user,read,3,cli_generic_available,candidate_for_readonly_batch,
addr_blacklist,add_batch_blacklist,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,add_batch_domain_blacklist,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,add_blacklist_ip,write_or_stateful,4,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,add_blacklist_mac,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,clear_batch_blacklist_hitnum,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,clear_batch_domain_blacklist_hitnum,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,clear_batch_domain_blacklist_hitnum_all,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,clear_blacklist_hitnum,write_or_stateful,3,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,clear_blacklist_hitnum_one,write_or_stateful,3,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,del_batch_blacklist,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,del_batch_blacklist_all,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,del_batch_domain_blacklist,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,del_batch_domain_blacklist_all,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,del_blacklist_by_id,write_or_stateful,4,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,get_batch_domain_blacklist_commit_status,read,2,cli_generic_available,candidate_for_readonly_batch,
addr_blacklist,get_blacklist_config,read,2,cli_generic_available,candidate_for_readonly_batch,
addr_blacklist,import_batch_blacklist_ip,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,set_batch_blacklist_match_model,write_or_stateful,1,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,set_batch_domain_blacklist_commit,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,set_blacklist_match_model,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_blacklist,show_batch_blacklist,read,2,cli_generic_available,candidate_for_readonly_batch,
addr_blacklist,show_batch_domain_blacklist,read,2,cli_generic_available,candidate_for_readonly_batch,
addr_blacklist,show_blacklist_match_model,read,2,cli_generic_available,candidate_for_readonly_batch,
addr_whitelist,add_whitelist_ip,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_whitelist,clear_whitelist_hitnum,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_whitelist,clear_whitelist_hitnum_one,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_whitelist,del_whitelist_by_id,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
addr_whitelist,get_whitelist_config,read,2,cli_generic_available,candidate_for_readonly_batch,
addr_whitelist,get_whitelist_config_by_id,read,2,cli_generic_available,candidate_for_readonly_batch,
admin_host,add_admin_host_addr,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
admin_host,add_admin_mac,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
admin_host,del_admin_host_addr,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
admin_host,del_admin_mac,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
admin_host,get_admin_host,read,2,cli_generic_available,candidate_for_readonly_batch,
admin_host,get_admin_mac,read,2,cli_generic_available,candidate_for_readonly_batch,
admin_host,get_admin_port,read,2,cli_generic_available,candidate_for_readonly_batch,
admin_host,set_admin_port,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
admin_user,add_admin_user,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
admin_user,del_admin_user,write_or_stateful,2,cli_generic_available,not_auto_tested_requires_manual_payload,
admin_user,get_admin_user,read,2,cli_generic_available,candidate_for_readonly_batch,
